SRR5855582	nifH109_R1
SRR5855583	nifH30_R2
SRR5855584	nifH108_R2
SRR5855585	nifH108_R1
SRR5855586	nifH92_R2
SRR5855587	nifH92_R1
SRR5855588	nifH91_R2
SRR5855589	nifH91_R1
SRR5855590	nifH94_R2
SRR5855591	nifH94_R1
SRR5855592	nifH93_R2
SRR5855593	nifH93_R1
SRR5855594	nifH25_R2
SRR5855595	nifH25_R1
SRR5855596	nifH95_R2
SRR5855597	nifH95_R1
SRR5855598	nifH34_R2
SRR5855599	nifH115_R1
SRR5855600	nifH115_R2
SRR5855601	nifH23_R2
SRR5855602	nifH55_R2
SRR5855603	nifH55_R1
SRR5855604	nifH49_R1
SRR5855605	nifH52_R2
SRR5855606	nifH52_R1
SRR5855607	nifH51_R2
SRR5855608	nifH51_R1
SRR5855609	nifH54_R2
SRR5855610	nifH54_R1
SRR5855611	nifH53_R2
SRR5855612	nifH53_R1
SRR5855613	nifH23_R1
SRR5855614	nifH40_R1
SRR5855615	nifH40_R2
SRR5855616	nifH38_R1
SRR5855617	nifH38_R2
SRR5855618	nifH39_R1
SRR5855619	nifH39_R2
SRR5855620	nifH36_R1
SRR5855621	nifH36_R2
SRR5855622	nifH37_R1
SRR5855623	nifH37_R2
SRR5855624	nifH96_R1
SRR5855625	nifH96_R2
SRR5855626	nifH97_R1
SRR5855627	nifH97_R2
SRR5855628	nifH98_R1
SRR5855629	nifH98_R2
SRR5855630	nifH99_R1
SRR5855631	nifH99_R2
SRR5855632	nifH100_R1
SRR5855633	nifH100_R2
SRR5855634	nifH110_R2
SRR5855635	nifH110_R1
SRR5855636	nifH24_R2
SRR5855637	nifH60_R1
SRR5855638	nifH60_R2
SRR5855639	nifH114_R1
SRR5855640	nifH114_R2
SRR5855641	nifH56_R1
SRR5855642	nifH56_R2
SRR5855643	nifH57_R1
SRR5855644	nifH57_R2
SRR5855645	nifH58_R1
SRR5855646	nifH58_R2
SRR5855647	nifH59_R1
SRR5855648	nifH59_R2
SRR5855649	nifH113_R1
SRR5855650	nifH113_R2
SRR5855651	nifH24_R1
SRR5855652	nifH22_R1
SRR5855653	nifH112_R1
SRR5855654	nifH2_R1
SRR5855655	nifH112_R2
SRR5855656	nifH35_R2
SRR5855657	nifH35_R1
SRR5855658	nifH111_R1
SRR5855659	nifH34_R1
SRR5855660	nifH33_R2
SRR5855661	nifH33_R1
SRR5855662	nifH32_R2
SRR5855663	nifH32_R1
SRR5855664	nifH111_R2
SRR5855665	nifH31_R1
SRR5855666	nifH101_R1
SRR5855667	nifH101_R2
SRR5855668	nifH102_R1
SRR5855669	nifH102_R2
SRR5855670	nifH103_R1
SRR5855671	nifH103_R2
SRR5855672	nifH104_R1
SRR5855673	nifH104_R2
SRR5855674	nifH105_R1
SRR5855675	nifH105_R2
SRR5855676	nifH2_R2
SRR5855677	nifH85_R2
SRR5855678	nifH85_R1
SRR5855679	nifH83_R2
SRR5855680	nifH83_R1
SRR5855681	nifH84_R2
SRR5855682	nifH84_R1
SRR5855683	nifH81_R2
SRR5855684	nifH81_R1
SRR5855685	nifH82_R2
SRR5855686	nifH82_R1
SRR5855687	nifH10_R1
SRR5855688	nifH10_R2
SRR5855689	nifH7_R1
SRR5855690	nifH7_R2
SRR5855691	nifH6_R1
SRR5855692	nifH6_R2
SRR5855693	nifH9_R1
SRR5855694	nifH9_R2
SRR5855695	nifH8_R1
SRR5855696	nifH8_R2
SRR5855697	nifH3_R2
SRR5855698	nifH50_R1
SRR5855699	nifH134_R1
SRR5855700	nifH47_R1
SRR5855701	nifH47_R2
SRR5855702	nifH31_R2
SRR5855703	nifH46_R2
SRR5855704	nifH29_R1
SRR5855705	nifH49_R2
SRR5855706	nifH48_R1
SRR5855707	nifH48_R2
SRR5855708	nifH29_R2
SRR5855709	nifH50_R2
SRR5855710	nifH90_R1
SRR5855711	nifH90_R2
SRR5855712	nifH4_R1
SRR5855713	nifH87_R1
SRR5855714	nifH87_R2
SRR5855715	nifH86_R1
SRR5855716	nifH86_R2
SRR5855717	nifH89_R1
SRR5855718	nifH89_R2
SRR5855719	nifH88_R1
SRR5855720	nifH88_R2
SRR5855721	nifH135_R1
SRR5855722	nifH45_R2
SRR5855723	nifH45_R1
SRR5855724	nifH43_R2
